"","Bill Clinton Democratic","Bob Dole Republican","Ross Perot Reform","Ralph Nader Green","Harry Browne Libertarian","Others","Margin","State Total"
"State","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","#",""
"Alabama","9","662,165","43.16","–","769,044","50.12","9","92,149","6.01","–","–","–","–","5,290","0.34","–","5,701","0.37","–","−106,879","−6.97","1,534,349","AL"
"Alaska","3","80,380","33.27","–","122,746","50.80","3","26,333","10.90","–","7,597","3.14","–","2,276","0.94","–","2,288","0.95","–","−42,366","−17.53","241,620","AK"
"Arizona","8","653,288","46.52","8","622,073","44.29","–","112,072","7.98","–","2,062","0.15","–","14,358","1.02","–","552","0.04","–","31,215","2.22","1,404,405","AZ"
"Arkansas","6","475,171","53.74","6","325,416","36.80","–","69,884","7.90","–","3,649","0.41","–","3,076","0.35","–","7,066","0.80","–","149,755","16.94","884,262","AR"
"California","54","5,119,835","51.10","54","3,828,380","38.21","–","697,847","6.96","–","237,016","2.37","–","73,600","0.73","–","62,806","0.63","–","1,291,455","12.89","10,019,484","CA"
"Colorado","8","671,152","44.43","–","691,848","45.80","8","99,629","6.59","–","25,070","1.66","–","12,392","0.82","–","10,613","0.70","–","−20,696","−1.37","1,510,704","CO"
"Connecticut","8","735,740","52.83","8","483,109","34.69","–","139,523","10.02","–","24,321","1.75","–","5,788","0.42","–","4,133","0.30","–","252,631","18.14","1,392,614","CT"
"Delaware","3","140,355","51.80","3","99,062","36.58","–","28,719","10.60","–","18","0.01","–","2,052","0.76","–","639","0.24","–","41,293","15.25","270,845","DE"
"D.C.","3","158,220","85.19","3","17,339","9.34","–","3,611","1.94","–","4,780","2.57","–","588","0.32","–","1,188","0.64","–","140,881","75.85","185,726","DC"
"Florida","25","2,546,870","48.02","25","2,244,536","42.32","–","483,870","9.12","–","4,101","0.08","–","23,965","0.45","–","452","0.01","–","302,334","5.70","5,303,794","FL"
"Georgia","13","1,053,849","45.84","–","1,080,843","47.01","13","146,337","6.37","–","–","–","–","17,870","0.78","–","172","0.01","–","−26,994","−1.17","2,299,071","GA"
"Hawaii","4","205,012","56.93","4","113,943","31.64","–","27,358","7.60","–","10,386","2.88","–","2,493","0.69","–","928","0.26","–","91,069","25.29","360,120","HI"
"Idaho","4","165,443","33.65","–","256,595","52.18","4","62,518","12.71","–","–","–","–","3,325","0.68","–","3,838","0.78","–","−91,152","−18.54","491,719","ID"
"Illinois","22","2,341,744","54.32","22","1,587,021","36.81","–","346,408","8.03","–","1,447","0.03","–","22,548","0.52","–","12,223","0.29","–","754,723","17.51","4,311,391","IL"
"Indiana","12","887,424","41.55","–","1,006,693","47.13","12","224,299","10.50","–","1,121","0.05","–","15,632","0.73","–","673","0.03","–","−119,269","−5.58","2,135,842","IN"
"Iowa","7","620,258","50.26","7","492,644","39.92","–","105,159","8.52","–","6,550","0.53","–","2,315","0.19","–","7,149","0.58","–","127,614","10.34","1,234,075","IA"
"Kansas","6","387,659","36.08","–","583,245","54.29","6","92,639","8.62","–","914","0.09","–","4,557","0.42","–","5,286","0.49","–","−195,586","−18.21","1,074,300","KS"
"Kentucky","8","636,614","45.84","8","623,283","44.88","–","120,396","8.67","–","701","0.05","–","4,009","0.29","–","3,705","0.27","–","13,331","0.96","1,388,708","KY"
"Louisiana","9","927,837","52.01","9","712,586","39.94","–","123,293","6.91","–","4,719","0.26","–","7,499","0.42","–","8,025","0.45","–","215,251","12.07","1,783,959","LA"
"Maine","4","312,788","51.62","4","186,378","30.76","–","85,970","14.19","–","15,279","2.52","–","2,996","0.49","–","2,486","0.41","–","126,410","20.86","605,897","ME"
"Maryland","10","966,207","54.25","10","681,530","38.27","–","115,812","6.50","–","2,606","0.15","–","8,765","0.49","–","5,950","0.33","–","284,677","15.99","1,780,870","MD"
"Massachusetts","12","1,571,763","61.47","12","718,107","28.09","–","227,217","8.89","–","4,734","0.19","–","20,426","0.80","–","14,538","0.57","–","853,656","33.39","2,556,785","MA"
"Michigan","18","1,989,653","51.69","18","1,481,212","38.48","–","336,670","8.75","–","2,322","0.06","–","27,670","0.72","–","11,317","0.29","–","508,441","13.21","3,848,844","MI"
"Minnesota","10","1,120,438","51.10","10","766,476","34.96","–","257,704","11.75","–","24,908","1.14","–","8,271","0.38","–","14,843","0.68","–","353,962","16.14","2,192,640","MN"
"Mississippi","7","394,022","44.08","–","439,838","49.21","7","52,222","5.84","–","–","–","–","2,809","0.31","–","4,966","0.56","–","−45,816","−5.13","893,857","MS"
"Missouri","11","1,025,935","47.54","11","890,016","41.24","–","217,188","10.06","–","534","0.02","–","10,522","0.49","–","13,870","0.64","–","135,919","6.30","2,158,065","MO"
"Montana","3","167,922","41.23","–","179,652","44.11","3","55,229","13.56","–","–","–","–","2,526","0.62","–","1,932","0.47","–","−11,730","−2.88","407,261","MT"
"Nebraska","5","236,761","34.95","–","363,467","53.65","5","71,278","10.52","–","–","–","–","2,792","0.41","–","3,117","0.46","–","−126,706","−18.70","677,415","NE"
"Nevada","4","203,974","43.93","4","199,244","42.91","–","43,986","9.47","–","4,730","1.02","–","4,460","0.96","–","7,885","1.70","–","4,730","1.02","464,279","NV"
"New Hampshire","4","246,214","49.32","4","196,532","39.37","–","48,390","9.69","–","–","–","–","4,237","0.85","–","3,802","0.76","–","49,682","9.95","499,175","NH"
"New Jersey","15","1,652,329","53.72","15","1,103,078","35.86","–","262,134","8.52","–","32,465","1.06","–","14,763","0.48","–","11,038","0.36","–","549,251","17.86","3,075,807","NJ"
"New Mexico","5","273,495","49.18","5","232,751","41.86","–","32,257","5.80","–","13,218","2.38","–","2,996","0.54","–","1,357","0.24","–","40,744","7.33","556,074","NM"
"New York","33","3,756,177","59.47","33","1,933,492","30.61","–","503,458","7.97","–","75,956","1.20","–","12,220","0.19","–","34,826","0.55","–","1,822,685","28.86","6,316,129","NY"
"North Carolina","14","1,107,849","44.04","–","1,225,938","48.73","14","168,059","6.68","–","2,108","0.08","–","8,740","0.35","–","3,113","0.12","–","−118,089","−4.69","2,515,807","NC"
"North Dakota","3","106,905","40.13","–","125,050","46.94","3","32,515","12.20","–","–","–","–","847","0.32","–","1,094","0.41","–","−18,145","−6.81","266,411","ND"
"Ohio","21","2,148,222","47.38","21","1,859,883","41.02","–","483,207","10.66","–","2,962","0.07","–","12,851","0.28","–","27,309","0.60","–","288,339","6.36","4,534,434","OH"
"Oklahoma","8","488,105","40.45","–","582,315","48.26","8","130,788","10.84","–","–","–","–","5,505","0.46","–","–","–","–","−94,210","−7.81","1,206,713","OK"
"Oregon","7","649,641","47.15","7","538,152","39.06","–","121,221","8.80","–","49,415","3.59","–","8,903","0.65","–","10,428","0.76","–","111,489","8.09","1,377,760","OR"
"Pennsylvania","23","2,215,819","49.17","23","1,801,169","39.97","–","430,984","9.56","–","3,086","0.07","–","28,000","0.62","–","27,060","0.60","–","414,650","9.20","4,506,118","PA"
"Rhode Island","4","233,050","59.71","4","104,683","26.82","–","43,723","11.20","–","6,040","1.55","–","1,109","0.28","–","1,679","0.43","–","128,367","32.89","390,284","RI"
"South Carolina","8","504,051","43.85","–","573,458","49.89","8","64,386","5.60","–","–","–","–","4,271","0.37","–","3,291","0.29","–","−69,407","−6.04","1,149,457","SC"
"South Dakota","3","139,333","43.03","–","150,543","46.49","3","31,250","9.65","–","–","–","–","1,472","0.45","–","1,228","0.38","–","−11,210","−3.46","323,826","SD"
"Tennessee","11","909,146","48.00","11","863,530","45.59","–","105,918","5.59","–","6,427","0.34","–","5,020","0.27","–","4,064","0.21","–","45,616","2.41","1,894,105","TN"
"Texas","32","2,459,683","43.83","–","2,736,167","48.76","32","378,537","6.75","–","4,810","0.09","–","20,256","0.36","–","12,191","0.22","–","−276,484","−4.93","5,611,644","TX"
"Utah","5","221,633","33.30","–","361,911","54.37","5","66,461","9.98","–","4,615","0.69","–","4,129","0.62","–","6,880","1.03","–","−140,278","−21.07","665,629","UT"
"Vermont","3","137,894","53.35","3","80,352","31.09","–","31,024","12.00","–","5,585","2.16","–","1,183","0.46","–","2,411","0.93","–","57,542","22.26","258,449","VT"
"Virginia","13","1,091,060","45.15","–","1,138,350","47.10","13","159,861","6.62","–","–","–","–","9,174","0.38","–","18,197","0.75","–","−47,290","−1.96","2,416,642","VA"
"Washington","11","1,123,323","49.84","11","840,712","37.30","–","201,003","8.92","–","60,322","2.68","–","12,522","0.56","–","15,955","0.71","–","282,611","12.54","2,253,837","WA"
"West Virginia","5","327,812","51.51","5","233,946","36.76","–","71,639","11.26","–","–","–","–","3,062","0.48","–","–","–","–","93,866","14.75","636,459","WV"
"Wisconsin","11","1,071,971","48.81","11","845,029","38.48","–","227,339","10.35","–","28,723","1.31","–","7,929","0.36","–","15,178","0.69","–","226,942","10.33","2,196,169","WI"
"Wyoming","3","77,934","36.84","–","105,388","49.81","3","25,928","12.25","–","–","–","–","1,739","0.82","–","582","0.28","–","−27,454","−12.98","211,571","WY"
"TOTALS:","538","47,400,125","49.24","379","39,198,755","40.71","159","8,085,402","8.40","–","685,297","0.71","–","485,798","0.50","–","420,024","0.44","–","8,201,370","8.52","96,277,634","US"
